,user,mentions,replies,group,max
0,7news,107,12,local_news,107
3,bostinno,106,1,local_news,106
4,boston25,151,28,local_news,151
8,bostonglobe,251,25,local_news,251
14,cityofboston,115,21,local_gov,115
17,ericfisher,271,23,weather,271
20,harveywcvb,135,3,weather,135
21,jimcantore,159,29,weather,159
22,jreineron7,107,5,weather,107
24,marty_walsh,436,14,local_gov,436
28,massgovernor,207,16,state_gov,207
36,necn,101,14,local_news,101
39,onlyinbos,115,12,local_news,115
49,wcvb,109,20,local_news,109
50,weatherchannel,215,10,weather,215
