,neighborhood,Analog,Digital,Internal,total_calls,pct_analog,pct_digital,pct_internal
1,Allston,420,307,215,942,0.445859872611465,0.32590233545647557,0.22823779193205945
2,Back Bay,747,404,246,1397,0.5347172512526843,0.28919112383679313,0.17609162491052255
3,Bay Village,83,47,27,157,0.5286624203821656,0.29936305732484075,0.17197452229299362
4,Beacon Hill,394,226,141,761,0.5177398160315374,0.29697766097240474,0.18528252299605782
5,Brighton,1147,776,624,2547,0.4503337259521005,0.30467216332940716,0.24499411071849234
6,Charlestown,966,453,494,1913,0.5049660219550445,0.23680083638264507,0.2582331416623105
7,Chinatown,110,54,40,204,0.5392156862745098,0.2647058823529412,0.19607843137254902
8,Dorchester,6135,1353,1483,8971,0.6838702485787538,0.1508193066547765,0.16531044476646975
9,Downtown,3344,3701,1134,8179,0.4088519378897176,0.4525003056608387,0.1386477564494437
10,East Boston,1239,504,275,2018,0.6139742319127849,0.24975222993062438,0.13627353815659068
11,Fenway,328,245,128,701,0.46790299572039945,0.34950071326676174,0.1825962910128388
12,Hyde Park,1701,307,322,2330,0.7300429184549356,0.1317596566523605,0.13819742489270387
13,Jamaica Plain,1749,861,984,3594,0.48664440734557596,0.2395659432387312,0.27378964941569284
14,Leather District,26,21,11,58,0.4482758620689655,0.3620689655172414,0.1896551724137931
15,Longwood,22,38,12,72,0.3055555555555556,0.5277777777777778,0.16666666666666666
16,Mattapan,955,130,131,1216,0.7853618421052632,0.1069078947368421,0.10773026315789473
17,Mission Hill,292,176,81,549,0.5318761384335154,0.3205828779599271,0.14754098360655737
18,North End,417,285,82,784,0.5318877551020408,0.3635204081632653,0.10459183673469388
19,Roslindale,1444,560,562,2566,0.5627435697583788,0.2182385035074045,0.2190179267342167
20,Roxbury,2691,549,405,3645,0.7382716049382716,0.1506172839506173,0.1111111111111111
21,South Boston,1279,1071,346,2696,0.47440652818991097,0.39725519287833827,0.12833827893175073
22,South Boston Waterfront,53,56,16,125,0.424,0.448,0.128
23,South End,882,756,434,2072,0.42567567567567566,0.36486486486486486,0.20945945945945946
24,West End,98,43,16,157,0.6242038216560509,0.27388535031847133,0.10191082802547771
25,West Roxbury,1913,299,543,2755,0.6943738656987296,0.10852994555353902,0.1970961887477314
